brand,title,image url,url,price,rating,review
Patagonia,Women's Retro Pile Fleece Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw940a6e7b/images/hi-res/22795_SALG.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw940a6e7b/images/hi-res/22795_SALG.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-retro-pile-fleece-jacket/22795.html?cgid=womens-fleece-jackets,149,4.1,172
Patagonia,Women's Downdrift Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwf2b680c5/images/hi-res/20625_NUVG.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwf2b680c5/images/hi-res/20625_NUVG.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-downdrift-jacket/20625.html?cgid=womens-jackets-vests-insulated,329,4.8,123
Patagonia,Women's Iron Forge Hemp® Canvas Ranch Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw410a9843/images/hi-res/26780_COI.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw410a9843/images/hi-res/26780_COI.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-iron-forge-hemp-canvas-ranch-jacket/26780.html?cgid=womens-jackets-vests-casual,139,4.8,31
Patagonia,Women's Iron Forge Hemp® Canvas Barn Coat,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw77e7a25d/images/hi-res/27800_COI.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw77e7a25d/images/hi-res/27800_COI.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-iron-forge-hemp-canvas-barn-coat/27800.html?cgid=womens-jackets-vests-casual,219,4.4,69
Patagonia,Women's Regenerative Organic Certified® Cotton Essential Pullover,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwc75308b2/images/hi-res/26365_DYWH.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwc75308b2/images/hi-res/26365_DYWH.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-regenerative-organic-certified-cotton-essential-pullover/26365.html?cgid=womens-tops-long-sleeve,75,4.6,25
Patagonia,Women's Houdini® Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw4dabb7d4/images/hi-res/24147_NUVG.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw4dabb7d4/images/hi-res/24147_NUVG.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-houdini-windbreaker-jacket/24147.html?cgid=womens-jackets-vests,109,4.5,357
Patagonia,Women's Classic Retro-X® Fleece Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw5f67db56/images/hi-res/23074_DAPL.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw5f67db56/images/hi-res/23074_DAPL.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-classic-retro-x-fleece-jacket/23074.html?cgid=womens-fleece-jackets,229,4.4,245
Patagonia,Women's Slate Sky Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw25d5b0bf/images/hi-res/85030_SMDB.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw25d5b0bf/images/hi-res/85030_SMDB.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-slate-sky-waterproof-rain-jacket/85030.html?cgid=womens-jackets-vests,199,4.6,18
Patagonia,Women's Zemer Bomber Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw9765844e/images/hi-res/27881_BSNG.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw9765844e/images/hi-res/27881_BSNG.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-zemer-bomber-jacket/27881.html?cgid=womens-jackets-vests-insulated,199,4.8,56
Patagonia,Women's Reclaimed Fleece Jacket,"https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwc32b0432/images/hi-res/22925_SMDB.jpg?sw=256&sh=256&sfrm=png&q=95&bgcolor=f5f5f5 256w, https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwc32b0432/images/hi-res/22925_SMDB.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5 512w",https://www.patagonia.com/product/womens-reclaimed-fleece-jacket/22925.html?cgid=womens-fleece-jackets,169,4.4,43
